uniqueid,ts,lat,lng,external_bat_voltage,internal_bat_voltage,engineload,tanklevel,throttle,coolant,intakeairtemp,engineoiltemp,imap,vehiclespeed,warmups,rpm,obddistance,maf,fuelrail,runtime,mil,obdstandards,telltale,pto_drive_engagement,engine_torque_percent,service_distance,gross_combination_vehicle_weight,selected_gear,current_gear,fuel_consumption,fuel_level,fl_level,fuel_rate,fuel_economy,accelerator_pedal_pos,vehicle_weight,air_suspension_pressure_front_axle_left,air_suspension_pressure_front_axle_right,air_suspension_pressure_rear_axle_left,air_suspension_pressure_rear_axle_right,state_of_charge,battery_pack_voltage,battery_pack_current,power,pluscode,lamp_status,hydraulic_oil_filter,air_filter,no_charging,low_fuel,engine_temp_high,hydraulic_oil_temp_high,water_in_fuel,low_oil_pressure,roller_speed,vibration_status,axle_position,tire_position,tire_pressure,tire_temperature,tire_air_leakage_rate,tire_sensor_enable_status,tire_status,tire_sensor_electric_fault,extended_tire_pressure_support,tire_pressure_threshold_detection,extended_tire_pressure,cpc_system_type,required_tire_pressure,cpc_tire_id,cpc_graphical_position,cpc_tire_location,cpc_ttm_id,barometric_pressure,secondary_air_status,catalyst_temperature_bank1_sensor1,catalyst_temperature_bank1_sensor2,distance_since_mil,commanded_egr,egr_error,drive_cycle_status,ambient_air_temperature,fuel_system_status,short_term_fuel_trim_bank_1,long_term_fuel_trim_bank_1,timing_advance,oxygen_sensors_present,oxygen_sensor_1_voltage,oxygen_sensor_2_voltage,commanded_evaporative_purge,control_module_voltage,absolute_load_value,relative_throttle_position,oxygen_sensor_1_short_term_fuel_trim,oxygen_sensor_2_short_term_fuel_trim,can_raw_data,engine_throttle_valve1_pos,engine_throttle_valve2_pos,enginefueltemp,engine_airlet_pressure,engine_oil_pressure,drivers_demand_engine_torque_percent,engine_torque_mode,accelerator_pedal_pos_2,brake_switch_status,clutch_switch_status,parking_switch_status,engine_pto_switch_status,clientid,alerttype,alertvalue,from_ts,to_ts,server_ts,to_lat,to_lng,tripid,alert_completed,view_status,scheduled_start_loc,scheduled_end_loc,vehiclenumber,areaandroute,type,breached_in_userid,alerted_to_in_userid,breached_out_userid,alerted_to_out_userid,alert_generated_by_app_userid,alert_ended_by_app_userid,request_id,live_location,to_be_expired_at,status,event_id,particulated_trap_inlet_pressure,boost_pressure,intake_manifold_1_temperature,air_inlet_pressure,exhaust_gas_temperature,adblue_level
it_220403501,1709340731,19.06934,78.355148,,,28,,,33,,1774.9688,,0,,749,60780800,,,1970.85,,,,,21,,,130,0,17935.5,23.6,86.14,5.3,0,0,,,,,,,,,,7JFW3994+,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0CF00300:D1001CFFFF4C4886,0CF00400:407D926817000492,18FEF200:6A000000C006FAFF,18FEEE00:49FFFFFFFFFFFFFF,18FEE900:238C00001F8C0000,18FE5600:DB44FFFF1F1F00FF,18FEE500:F999000017150100,18FEF100:F700000FFFFFFFFF,18FEFC17:FF3BFFFFFFFFFEFF,18FEC100:007DB9008A7FB900,18F00500:FF803E7DFFFFFFFF",100,102,215,,,0,1,102,Released,Released,Pressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_220403501,1709340794,19.069347,78.355141,,,22,,,41,,1774.9688,,0,,1208.375,60780800,,,1970.85,,,,,18,,,130,0,17935.5,23.6,86.14,6.45,0,23.6,,,,,,,,,,7JFW3994+,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0CF00300:D03B16FFFF4C4283,0CF00400:41908FC325000490,18FEF200:81000000C106F9FF,18FEEE00:51FFFFFFFFFFFFFF,18FEE900:238C00001F8C0000,18FE5600:DC44FFFF1F1F00FF,18FEE500:F999000017150100,18FEF100:F700004FFFFFFFFF,18FEFC17:FF3BFFFFFFFFFEFF,18FEC100:007DB9008A7FB900,18F00500:FF803E7DFFFFFFFF",99.6,102,215,,,19,2,102,Released,Pressed,Pressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_220403501,1709340857,19.069414,78.355179,,,25,,,48,,1774.9688,,1.40625,,752.625,60780800,,,1970.85,,,,,18,,,130,129,17936,22.8,83.22,4.7,0.33789062,0,,,,,,,,,,7JFW3994+,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0CF00300:D10019FFFF4C4983,0CF00400:307D8F851700048F,18FEF200:5E00AD00C106F9FF,18FEEE00:58FFFFFFFFFFFFFF,18FEE900:238C0000208C0000,18FE5600:DC44FFFF1F1F00FF,18FEE500:F999000018150100,18FEF100:F368015FFFFFFFFF,18FEFC17:FF39FFFFFFFFFEFF,18FEC100:007DB9008A7FB900,18F00500:FF803EFEFFFFFFFF",99.6,102,215,,,0,1,102,Pressed,Pressed,Released,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_220403501,1709340920,19.069258,78.355225,,,35,,,52,,1774.9688,,2.8125,,996.375,60780820,,,1970.9,,,,,27,,,130,129,17936,20.4,74.46,8.6,0.12109375,33.6,,,,,,,,,,7JFW3994+,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0CF00300:D05423FFFF4C4C82,0CF00400:519998231F000499,18FEF200:AC003E00C006F9FF,18FEEE00:5CFFFFFFFFFFFFFF,18FEE900:238C0000208C0000,18FE5600:D944FFFF1F1F00FF,18FEE500:FA99000019150100,18FEF100:F3D0024FFFFFFFFF,18FEFC17:FF33FFFFFFFFFEFF,18FEC100:047DB9008E7FB900,18F00500:FF803EFEFFFFFFFF",99.6,102,215,,,28,2,102,Released,Pressed,Released,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_220403501,1709340983,19.069094,78.355339,,,0,,,57,,1774.9688,,4.53125,,1065.75,60780840,,,1970.9,,,,,1,,,130,3,17936,23.2,84.68,0,125.5,3.2,,,,,,,,,,7JFW3994+,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0CF00300:D10800FFFF4C3284,0CF00400:017E7E4E2100047E,18FEF200:000000FBC006FAFF,18FEEE00:61FFFFFFFFFFFFFF,18FEE900:238C0000208C0000,18FE5600:DD44FFFF1F1F00FF,18FEE500:FA9900001A150100,18FEF100:F388044FFFFFFFFF,18FEFC17:FF3AFFFFFFFFFEFF,18FEC100:087DB900927FB900,18F00500:FF602380FFFFFFFF",100,102,215,,,1,2,102,Released,Pressed,Released,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_220403501,1709341725,19.069117,78.356079,,,22,,,58,,1774.9688,,0.09375,,750.75,60780920,,,1970.95,,,,,20,,,130,129,17936,22,80.3,5,0.38671875,0,,,,,,,,,,7JFW3994+,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0CF00300:D10016FFFF4C4D7E,0CF00400:007D917617000491,18FEF200:6400C600C006F9FF,18FEEE00:62FFFFFFFFFFFFFF,18FEE900:248C0000208C0000,18FE5600:DA45FFFF1F1F00FF,18FEE500:FB9900001B150100,18FEF100:F318004FFFFFFFFF,18FEFC17:FF37FFFFFFFFFEFF,18FEC100:187DB900A27FB900,18F00500:FF803EFEFFFFFFFF",99.6,102,215,,,0,1,102,Released,Pressed,Released,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_220403501,1709344633,19.069157,78.356049,,,0,,,53,,1774.9688,,0,,0,60780920,,,1970.95,,,,,0,,,130,0,17936,23.2,84.68,0,125.5,0,,,,,,,,,,7JFW3994+,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0CF00300:D10000FFFF0C407E,0CF00400:7E7D7D000000007D,18FEF200:000000FBC006FAFF,18FEEE00:5DFFFFFFFFFFFFFF,18FEE900:248C0000208C0000,18FE5600:DD44FFFF1F1F00FF,18FEE500:FB9900001C150100,18FEF100:F700000FFFFFFFFF,18FEFC17:FF3AFFFFFFFFFEFF,18FEC100:187DB900A27FB900,18F00500:FF803E7DFFFFFFFF",100,102,215,,,0,15,102,Released,Released,Pressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_220403501,1709344696,19.069153,78.356049,,,0,,,53,,1774.9688,,0,,0,60780920,,,1970.95,,,,,0,,,130,0,17936,23.2,84.68,0,125.5,0,,,,,,,,,,7JFW3994+,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0CF00300:D10000FFFF0C407E,0CF00400:7E7D7D000000007D,18FEF200:000000FBC006FAFF,18FEEE00:5DFFFFFFFFFFFFFF,18FEE900:248C0000208C0000,18FE5600:DD44FFFF1F1F00FF,18FEE500:FB9900001C150100,18FEF100:F700004FFFFFFFFF,18FEFC17:FF3AFFFFFFFFFEFF,18FEC100:187DB900A27FB900,18F00500:FF803E7DFFFFFFFF",100,102,215,,,0,15,102,Released,Pressed,Pressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_220403501,1709344759,19.069094,78.356041,,,0,,,53,,1774.9688,,0,,0,60780920,,,1970.95,,,,,0,,,130,0,17936,23.2,84.68,0,125.5,0,,,,,,,,,,7JFW3994+,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0CF00300:D10000FFFF0C407E,0CF00400:7E7D7D000000007D,18FEF200:000000FBC006FAFF,18FEEE00:5DFFFFFFFFFFFFFF,18FEE900:248C0000208C0000,18FE5600:DD44FFFF1F1F00FF,18FEE500:FB9900001C150100,18FEF100:F700000FFFFFFFFF,18FEFC17:FF3AFFFFFFFFFEFF,18FEC100:187DB900A27FB900,18F00500:FF803E7DFFFFFFFF",100,102,215,,,0,15,102,Released,Released,Pressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_220403501,1709344822,19.069141,78.355995,,,0,,,52,,1774.9688,,0,,0,60780920,,,1970.95,,,,,0,,,130,0,17936,23.2,84.68,0,125.5,0,,,,,,,,,,7JFW3994+,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0CF00300:D10000FFFF0C407E,0CF00400:7E7D7D000000007D,18FEF200:000000FBC106FAFF,18FEEE00:5CFFFFFFFFFFFFFF,18FEE900:248C0000208C0000,18FE5600:DD44FFFF1F1F00FF,18FEE500:FB9900001C150100,18FEF100:F700000FFFFFFFFF,18FEFC17:FF3AFFFFFFFFFEFF,18FEC100:187DB900A27FB900,18F00500:FF803E7DFFFFFFFF",100,102,215,,,0,15,102,Released,Released,Pressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
